name,n,p,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,avg_deg,std_deg
gnp_0081,250,0.3,2,1800.00,774773.51,"231.0
",0.020937967565883002,True,9400,1,0.3011341654729345,75.2,7.031358332498778
gnp_0082,250,0.3,3,1800.01,743413.94,"231.0
",0.023262533629364153,True,9265,1,0.29679584157098216,74.12,7.016665874900985
gnp_0083,250,0.3,4,1800.00,770285.07,"231.0
",0.018189391954958094,True,9388,1,0.3018578172761744,75.104,6.825627004165991
gnp_0084,250,0.3,5,1800.00,837590.48,"231.0
",0.01988306178243489,True,9294,1,0.2982219734191097,74.352,7.252868122336156
gnp_0085,250,0.5,1,260.38,115489.07,"238.0
",0.0,False,15527,1,0.4988826021475329,124.216,7.929271341050198
gnp_0086,250,0.5,2,315.94,136085.50,"238.0
",0.0,False,15606,1,0.5018276033447595,124.848,8.134426593190206
gnp_0087,250,0.5,3,285.95,127116.79,"238.0
",0.0,False,15582,1,0.5011317072822108,124.656,8.037018352598183
gnp_0088,250,0.5,4,232.02,106811.02,"238.0
",0.0,False,15622,1,0.5022545692416212,124.976,8.015449082864915
gnp_0089,250,0.5,5,236.84,110640.72,"238.0
",0.0,False,15545,1,0.49921243690575673,124.36,7.777814603087425
gnp_0090,250,0.7,1,122.35,52310.22,"243.0
",0.0,False,21782,1,0.6996041812439616,174.256,6.951723814997256
gnp_0091,250,0.7,2,167.52,67649.42,"243.0
",0.0,False,21797,1,0.7001827553194475,174.376,7.093844091886993
gnp_0092,250,0.7,3,147.24,58482.16,"243.0
",0.0,False,21736,1,0.6984276000371965,173.888,7.118107613684975
gnp_0093,250,0.7,4,126.47,56150.01,"243.0
",0.0,False,21702,1,0.6974634501602652,173.616,7.245173841944719
gnp_0094,250,0.7,5,116.29,49877.14,"243.0
",0.0,False,21711,1,0.6976878634797438,173.688,7.3057960551879635
gnp_0095,250,0.9,1,10.42,4293.13,"245.0
",0.0,False,27982,1,0.8990458820790149,223.856,4.793669158379623
gnp_0096,250,0.9,2,11.70,4680.78,"246.0
",0.0,False,28010,1,0.8998891284826996,224.08,4.555611923770504
gnp_0097,250,0.9,3,11.64,4683.32,"246.0
",0.0,False,28048,1,0.9012090224891324,224.384,4.929558195213847
gnp_0098,250,0.9,4,8.35,3311.28,"245.0
",0.0,False,27988,1,0.8992152977133868,223.904,4.826467030862223
gnp_0099,250,0.9,5,14.35,5830.08,"246.0
",0.0,False,27919,1,0.8968437327054146,223.352,4.455569099452953
gnp_0100,300,0.1,1,1801.09,873893.12,"253.0
",0.07295529741868462,True,4550,1,0.10481395952812847,30.333333333333332,5.324993479390895
gnp_0101,300,0.1,2,1800.00,738322.26,"254.0
",0.08486027712049865,True,4434,1,0.09977328149187777,29.56,5.39441686684792
gnp_0102,300,0.1,3,1801.20,840324.97,"253.0
",0.07517973129357718,True,4482,1,0.09985698085874754,29.88,4.817219114800571
gnp_0103,300,0.1,4,1801.62,885850.41,"254.0
",0.07756285357038273,True,4478,1,0.1015421260886136,29.85333333333333,5.489246052257288
gnp_0104,300,0.1,5,1801.12,881428.95,"254.0
",0.07951516896336373,True,4428,1,0.09975702488029994,29.52,5.341310700567792
gnp_0105,300,0.3,1,1801.04,778378.40,"281.0
",0.04699232971539657,True,13464,1,0.3007529675312728,89.76,7.960050251097665
gnp_0106,300,0.3,2,1801.04,775994.88,"280.0
",0.04182737951334982,True,13491,1,0.3010364659703289,89.94,8.199780484866652
gnp_0107,300,0.3,3,1800.87,753254.48,"281.0
",0.046348528721853945,True,13385,1,0.29875859580982533,89.23333333333333,7.693648173800399
gnp_0108,300,0.3,4,1801.61,821229.75,"281.0
",0.04486945837933256,True,13510,1,0.3006816608838023,90.06666666666666,7.788595651478013
gnp_0109,300,0.3,5,1800.01,774486.99,"280.0
",0.045408831282508874,True,13327,1,0.2968585818844171,88.84666666666666,8.241955000011965
gnp_0110,300,0.5,1,1668.75,754798.29,"288.0
",0.0,False,22414,1,0.49930795622320207,149.42666666666668,8.409793233024354
gnp_0111,300,0.5,2,1577.61,678317.62,"288.0
",0.0,False,22446,1,0.49986513581130493,149.64,7.84583116480763
gnp_0112,300,0.5,3,1629.43,713590.99,"288.0
",0.0,False,22397,1,0.49933966836118315,149.31333333333333,8.832618839028182
gnp_0113,300,0.5,4,997.42,450462.40,"288.0
",0.0,False,22527,1,0.5021066187904216,150.18,8.706755997499872
gnp_0114,300,0.5,5,1537.34,672217.55,"288.0
",0.0,False,22352,1,0.4986874346952046,149.01333333333332,9.22640173030033
gnp_0115,300,0.7,1,309.65,124060.84,"292.0
",0.0,False,31430,1,0.7006730030709514,209.53333333333333,7.6137302873748345
gnp_0116,300,0.7,2,228.03,96088.81,"292.0
",0.0,False,31458,1,0.7015709993199293,209.72,8.013838031804735
gnp_0117,300,0.7,3,259.63,112744.60,"292.0
",0.0,False,31312,1,0.697985592382535,208.74666666666667,7.653919838154101
gnp_0118,300,0.7,4,252.72,109283.14,"292.0
",0.0,False,31331,1,0.6984958664260789,208.87333333333333,7.814769492584041
gnp_0119,300,0.7,5,327.92,124747.49,"292.0
",0.0,False,31297,1,0.6977261968838392,208.64666666666668,8.067330551193637
gnp_0120,300,0.9,1,51.66,22524.22,"296.0
",0.0,False,40276,1,0.8979040867615682,268.50666666666666,4.799648135251398
gnp_0121,300,0.9,2,22.85,9360.21,"296.0
",0.0,False,40374,1,0.9002553193671804,269.16,5.321127700027504
gnp_0122,300,0.9,3,23.08,8852.94,"296.0
",0.0,False,40342,1,0.8994806576477805,268.94666666666666,5.213810719830767
gnp_0123,300,0.9,4,22.51,8510.29,"296.0
",0.0,False,40325,1,0.8991206405117159,268.8333333333333,5.127594194378317
gnp_0124,300,0.9,5,24.21,9533.00,"295.0
",0.0,False,40250,1,0.897349055606278,268.3333333333333,5.033443707399096
gnp_0125,500,0.1,1,1800.01,846850.30,"445.0
",0.12672981434983463,True,12414,1,0.0991421417995641,49.656,6.8174528967936405
gnp_0126,500,0.1,2,1800.01,834515.73,"445.0
",0.126886283154945,True,12364,1,0.09918002858907116,49.456,6.742407878495634
gnp_0127,500,0.1,3,1800.02,833533.33,"443.0
",0.12041133626820873,True,12496,1,0.09999578686230204,49.984,6.730508450332708
gnp_0128,500,0.1,4,1800.09,826155.88,"448.0
",0.13003638216934393,True,12457,1,0.09958717441818074,49.828,6.685388246018326
gnp_0129,500,0.1,5,1800.02,829174.30,"447.0
",0.1291544405912161,True,12472,1,0.09962602567401253,49.888,6.798489243942363
gnp_0130,500,0.3,1,1800.00,538288.84,"480.0
",0.10685235730665059,True,37422,1,0.29974146100375254,149.688,10.180503720347044
gnp_0131,500,0.3,2,1800.01,594161.34,"479.0
",0.09743890897000479,True,37311,1,0.29897613055672057,149.244,10.429595581804694
gnp_0132,500,0.3,3,1800.49,659047.24,"479.0
",0.08025533555237965,True,37415,1,0.30007387458618395,149.66,10.631293430246387
gnp_0133,500,0.3,4,1800.01,689241.46,"481.0
",0.09374245214504735,True,37561,1,0.30133507315248503,150.244,10.335785601491548
gnp_0134,500,0.3,5,1800.01,576113.26,"479.0
",0.08164914286214342,True,37454,1,0.30055157554599077,149.816,10.037437123090735
gnp_0135,500,0.5,1,1800.05,733440.28,"488.0
",0.04564226624122354,True,62440,1,0.5009775402231692,249.76,11.824990486254102
gnp_0136,500,0.5,2,1800.45,714454.28,"488.0
",0.045746307024993424,True,62205,1,0.4988933804974846,248.82,11.653136916727616
gnp_0137,500,0.5,3,1800.00,712204.31,"488.0
",0.046071735494952804,True,62556,1,0.5015545561534496,250.224,11.681516339927791
gnp_0138,500,0.5,4,1800.00,710539.29,"487.0
",0.042826694258169734,True,62558,1,0.5014918416464831,250.232,11.152317068663354
gnp_0139,500,0.5,5,1800.01,713112.15,"487.0
",0.04408833001345586,True,62598,1,0.5018125188261879,250.392,10.825633284016229
gnp_0140,500,0.7,1,970.30,361766.50,"492.0
",0.0,False,87321,1,0.6999913077533018,349.284,10.168546798830205
gnp_0141,500,0.7,2,805.04,318084.28,"492.0
",0.0,False,87236,1,0.699385330642709,348.944,10.367104899633263
gnp_0142,500,0.7,3,961.79,357251.36,"491.0
",0.0,False,87424,1,0.7008004311724769,349.696,10.38323571917733
gnp_0143,500,0.7,4,899.94,349802.70,"492.0
",0.0,False,87227,1,0.699276845075724,348.908,10.322767845883197
gnp_0144,500,0.7,5,839.73,312050.70,"491.0
",0.0,False,87506,1,0.7014188056681805,350.024,10.472030557633031
gnp_0145,500,0.9,1,106.58,48321.66,"495.0
",0.0,False,112097,1,0.8985659847978459,448.388,6.706225167707985
gnp_0146,500,0.9,2,110.95,51307.15,"495.0
",0.0,False,112288,1,0.9001066682356991,449.152,6.765271317545216
gnp_0147,500,0.9,3,116.88,54807.95,"495.0
",0.0,False,112471,1,0.9016388896944902,449.884,7.064739485642765
gnp_0148,500,0.9,4,126.93,62661.63,"495.0
",0.0,False,112168,1,0.8991468322216731,448.672,6.663663857068422
gnp_0149,500,0.9,5,109.41,51885.30,"495.0
",0.0,False,112237,1,0.8996495512649703,448.948,6.470957888906402
