name,n,d,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
rrg_00237,150,30,13,78.72,34351.70,"149.0
",0.0,False,500,1,0.011999999999999999,0.04308131845707602
rrg_00238,150,30,14,71.45,30903.61,"149.0
",0.0,False,500,1,0.01,0.03958114029012639
rrg_00239,150,30,15,59.45,25732.52,"149.0
",0.0,False,500,1,0.007999999999999998,0.038620662287893966
rrg_00240,200,2,1,818.73,362394.84,"179.0
",0.0,False,600,1,0.015,0.04769696007084728
rrg_00241,200,2,2,1166.80,522309.16,"179.0
",0.0,False,600,1,0.011666666666666667,0.04252450274057691
rrg_00242,200,2,3,1689.61,762200.80,"178.0
",0.0,False,600,1,0.006666666666666667,0.032659863237109045
rrg_00243,200,2,4,1800.00,814501.04,"179.0
",0.0077648988902720316,True,600,1,0.003333333333333333,0.02333333333333333
rrg_00244,200,2,5,1532.46,689184.19,"178.0
",0.0,False,600,1,0.0033333333333333335,0.02333333333333333
rrg_00245,200,2,6,637.78,286005.82,"178.0
",0.0,False,600,1,0.008333333333333333,0.03632415786283895
rrg_00246,200,2,7,630.30,283330.17,"178.0
",0.0,False,600,1,0.008333333333333331,0.03632415786283895
rrg_00247,200,2,8,689.49,306343.57,"178.0
",0.0,False,600,1,0.01,0.03958114029012639
rrg_00248,200,2,9,127.07,55344.21,"177.0
",0.0,False,600,1,0.008333333333333333,0.03632415786283894
rrg_00249,200,2,10,881.79,394295.46,"179.0
",0.0,False,600,1,0.01,0.03958114029012639
rrg_00250,200,2,11,529.08,236238.65,"177.0
",0.0,False,600,1,0.0016666666666666668,0.016583123951777
rrg_00251,200,2,12,297.97,132459.67,"177.0
",0.0,False,600,1,0.0,0.0
rrg_00252,200,2,13,627.30,278621.61,"178.0
",0.0,False,600,1,0.006666666666666667,0.032659863237109045
rrg_00253,200,2,14,606.55,269816.33,"178.0
",0.0,False,600,1,0.011666666666666667,0.04252450274057691
rrg_00254,200,2,15,1073.86,481431.35,"178.0
",0.0,False,600,1,0.006666666666666667,0.03538151850686813
rrg_00255,200,3,1,1800.00,802065.67,"297.0
",0.0374643103015183,True,1000,1,0.002,0.018147543451754934
rrg_00256,200,3,2,1800.00,796032.05,"297.0
",0.03407495991047662,True,1000,1,0.005,0.032102267140430366
rrg_00257,200,3,3,1800.01,800205.59,"298.0
",0.038363109785459114,True,1000,1,0.003,0.022158519806160334
rrg_00258,200,3,4,1800.00,798740.16,"298.0
",0.04038756863566723,True,1000,1,0.005,0.02843120351538663
rrg_00259,200,3,5,1800.01,801178.38,"298.0
",0.03988847046013339,True,1000,1,0.001,0.012871156384205218
rrg_00260,200,3,6,1800.00,803749.02,"295.0
",0.029354476332310822,True,1000,1,0.003999999999999999,0.025508168626278648
rrg_00261,200,3,7,1800.02,798633.11,"298.0
",0.03883101452833681,True,1000,1,0.005,0.02843120351538663
rrg_00262,200,3,8,1800.00,797135.79,"297.0
",0.03215698293607757,True,1000,1,0.006,0.03444157694157197
rrg_00263,200,3,9,1800.01,800145.80,"298.0
",0.03607088219350339,True,1000,1,0.006,0.031048349392520047
