name,n,d,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
rrg_0130,250,4,1,1004.93,483227.18,"135.0
",0.0,False,700,1,0.026428571428571423,0.033569739910248385
rrg_0131,250,4,2,1801.48,849193.26,"136.0
",0.022832330752904764,True,700,1,0.022857142857142857,0.03297769465367768
rrg_0132,250,4,3,660.80,315713.86,"135.0
",0.0,False,700,1,0.027142857142857146,0.03764917419360373
rrg_0133,250,4,4,1172.66,570937.78,"135.0
",0.0,False,700,1,0.027857142857142855,0.03475782754954226
rrg_0134,250,4,5,1052.26,507595.08,"135.0
",0.0,False,700,1,0.021428571428571432,0.029257632684391684
rrg_0135,250,5,1,1802.17,882891.16,"170.0
",0.04374772514711753,True,875,1,0.022857142857142857,0.03221244671483383
rrg_0136,250,5,2,1801.90,879756.43,"169.0
",0.037342869351030226,True,875,1,0.022285714285714284,0.03045296734235678
rrg_0137,250,5,3,1801.88,884771.78,"170.0
",0.048495903665842194,True,875,1,0.018285714285714284,0.029986542711092457
rrg_0138,250,5,4,1802.09,888557.33,"169.0
",0.04168843696258742,True,875,1,0.02,0.028713930346059683
rrg_0139,250,5,5,1801.85,871341.95,"171.0
",0.04738361540168866,True,875,1,0.026285714285714284,0.03735276462249228
rrg_0140,250,7,1,1801.31,876935.57,"204.0
",0.06115103209644574,True,1050,1,0.019047619047619046,0.026370234485454207
rrg_0141,250,7,2,1801.19,867664.83,"204.0
",0.06321206387057199,True,1050,1,0.015714285714285712,0.026129799844417042
rrg_0142,250,7,3,1801.24,873345.17,"203.0
",0.06079929396007381,True,1050,1,0.017619047619047618,0.02829629431761063
rrg_0143,250,7,4,1801.17,868676.92,"203.0
",0.05436722912984955,True,1050,1,0.020476190476190474,0.0312899782071767
rrg_0144,250,7,5,1801.29,878210.43,"205.0
",0.0666704182526912,True,1050,1,0.015714285714285712,0.02524707836535536
rrg_0145,250,10,1,1800.00,859648.09,"340.0
",0.09769309111598515,True,1750,1,0.009428571428571427,0.021016999921831984
rrg_0146,250,10,2,1800.00,869251.23,"341.0
",0.10188284540994322,True,1750,1,0.008857142857142855,0.021049773645375424
rrg_0147,250,10,3,1800.00,861846.10,"341.0
",0.09619047954627036,True,1750,1,0.012,0.02256238516845672
rrg_0148,250,10,4,1800.00,862535.59,"343.0
",0.10479466274430498,True,1750,1,0.009714285714285713,0.02142243298322193
rrg_0149,250,10,5,1800.00,859830.62,"341.0
",0.09675586001694919,True,1750,1,0.012285714285714285,0.024440960378382982
rrg_0150,250,20,1,1.17,390.90,"73.0
",0.0,False,500,1,0.07866666666666665,0.0336165743952901
rrg_0151,250,20,2,0.97,316.10,"73.0
",0.0,False,500,1,0.09399999999999999,0.03948495572233887
rrg_0152,250,20,3,1.11,360.31,"73.0
",0.0,False,500,1,0.08933333333333332,0.03987387523085668
rrg_0153,250,20,4,1.49,518.83,"73.0
",0.0,False,500,1,0.07999999999999999,0.037843080813169776
rrg_0154,250,20,5,1.63,537.51,"74.0
",0.0,False,500,1,0.08599999999999998,0.04224034698697735
rrg_0155,250,30,1,132.89,53340.89,"110.0
",0.0,False,750,1,0.05911111111111109,0.03402540808075237
rrg_0156,250,30,2,72.71,28365.75,"109.0
",0.0,False,750,1,0.06177777777777777,0.035077339595334475
rrg_0157,250,30,3,90.19,35703.75,"110.0
",0.0,False,750,1,0.056444444444444436,0.0336165743952901
rrg_0158,250,30,4,160.23,67861.78,"110.0
",0.0,False,750,1,0.05422222222222222,0.03379726533364677
rrg_0159,250,30,5,45.70,18541.66,"109.0
",0.0,False,750,1,0.06844444444444445,0.040614214301056974
rrg_0160,300,2,1,1802.84,803958.26,"147.0
",0.038011695906406524,True,1000,1,0.044333333333333336,0.027710808160154563
rrg_0161,300,2,2,1802.66,819310.49,"147.0
",0.03480178278205532,True,1000,1,0.050333333333333334,0.029604595906133086
rrg_0162,300,2,3,1801.87,803890.78,"145.0
",0.02521873391660578,True,1000,1,0.04233333333333333,0.02763049844726737
rrg_0163,300,2,4,1802.82,819821.54,"146.0
",0.03664777200438336,True,1000,1,0.03666666666666667,0.025700074458267507
rrg_0164,300,2,5,1802.23,825499.07,"145.0
",0.026016260162583547,True,1000,1,0.044333333333333336,0.030671295946890283
rrg_0165,300,3,1,1802.11,909043.63,"182.0
",0.06184979876980492,True,1250,1,0.031466666666666664,0.025943376137891126
rrg_0166,300,3,2,1802.16,915192.16,"184.0
",0.07733550954298907,True,1250,1,0.029333333333333333,0.02570103519075726
rrg_0167,300,3,3,1801.98,899963.06,"183.0
",0.07024458169724072,True,1250,1,0.031733333333333336,0.025961186603784953
rrg_0168,300,3,4,1802.44,912579.98,"183.0
",0.06637378681187957,True,1250,1,0.03493333333333334,0.02534518241411843
rrg_0169,300,3,5,1801.97,910565.40,"183.0
",0.06526322560749456,True,1250,1,0.035733333333333325,0.02620277998633629
rrg_0170,300,4,1,1801.43,893033.94,"218.0
",0.07314221361671783,True,1500,1,0.03288888888888889,0.02536580115653273
rrg_0171,300,4,2,1801.18,895953.29,"217.0
",0.07739958124619928,True,1500,1,0.02488888888888889,0.022650684270952764
rrg_0172,300,4,3,1801.14,894724.32,"221.0
",0.09626417693000708,True,1500,1,0.023999999999999997,0.02200187047791049
rrg_0173,300,4,4,1801.70,893797.28,"221.0
",0.08770709819473425,True,1500,1,0.03177777777777778,0.025580663993930462
rrg_0174,300,4,5,1800.95,894068.66,"217.0
",0.07456017882798965,True,1500,1,0.027777777777777773,0.023735511066684617
rrg_0175,300,5,1,1800.00,878279.22,"367.0
",0.12701773896919838,True,2500,1,0.016933333333333335,0.01845054785228294
rrg_0176,300,5,2,1800.00,890411.18,"368.0
",0.1281310053771499,True,2500,1,0.017733333333333334,0.02018673320601588
rrg_0177,300,5,3,1800.00,886422.74,"367.0
",0.12790717249672165,True,2500,1,0.016666666666666666,0.01921290718421176
