name,n,p,seed,time,ticks,sol_nodes,gap,time_lim,edges,cnnct_cmp,avg_clust,std_dev_clust
gnp_0094,250,0.7,5,116.29,49877.14,"243.0
",0.0,False,21711,1,0.6976878634797438,0.0026323376827111365
gnp_0095,250,0.9,1,10.42,4293.13,"245.0
",0.0,False,27982,1,0.8990458820790149,0.0008490663650678386
gnp_0096,250,0.9,2,11.70,4680.78,"246.0
",0.0,False,28010,1,0.8998891284826996,0.0008226080615461108
gnp_0097,250,0.9,3,11.64,4683.32,"246.0
",0.0,False,28048,1,0.9012090224891324,0.0008208310114663729
gnp_0098,250,0.9,4,8.35,3311.28,"245.0
",0.0,False,27988,1,0.8992152977133868,0.0008228484502657243
gnp_0099,250,0.9,5,14.35,5830.08,"246.0
",0.0,False,27919,1,0.8968437327054146,0.000807890841946377
gnp_0100,300,0.1,1,1801.09,873893.12,"253.0
",0.07295529741868462,True,4550,1,0.10481395952812847,0.014696711633164487
gnp_0101,300,0.1,2,1800.00,738322.26,"254.0
",0.08486027712049865,True,4434,1,0.09977328149187777,0.013986624220987212
gnp_0102,300,0.1,3,1801.20,840324.97,"253.0
",0.07517973129357718,True,4482,1,0.09985698085874754,0.014590865001437634
gnp_0103,300,0.1,4,1801.62,885850.41,"254.0
",0.07756285357038273,True,4478,1,0.1015421260886136,0.014681109583654471
gnp_0104,300,0.1,5,1801.12,881428.95,"254.0
",0.07951516896336373,True,4428,1,0.09975702488029994,0.01482298260892415
gnp_0105,300,0.3,1,1801.04,778378.40,"281.0
",0.04699232971539657,True,13464,1,0.3007529675312728,0.0067655886595199355
gnp_0106,300,0.3,2,1801.04,775994.88,"280.0
",0.04182737951334982,True,13491,1,0.3010364659703289,0.0069149475410541904
gnp_0107,300,0.3,3,1800.87,753254.48,"281.0
",0.046348528721853945,True,13385,1,0.29875859580982533,0.007371756976256393
gnp_0108,300,0.3,4,1801.61,821229.75,"281.0
",0.04486945837933256,True,13510,1,0.3006816608838023,0.007353480943506731
gnp_0109,300,0.3,5,1800.01,774486.99,"280.0
",0.045408831282508874,True,13327,1,0.2968585818844171,0.007641031859866726
gnp_0110,300,0.5,1,1668.75,754798.29,"288.0
",0.0,False,22414,1,0.49930795622320207,0.004080144999488203
gnp_0111,300,0.5,2,1577.61,678317.62,"288.0
",0.0,False,22446,1,0.49986513581130493,0.0038066172513922416
gnp_0112,300,0.5,3,1629.43,713590.99,"288.0
",0.0,False,22397,1,0.49933966836118315,0.004301520033478227
gnp_0113,300,0.5,4,997.42,450462.40,"288.0
",0.0,False,22527,1,0.5021066187904216,0.004377027051297696
gnp_0114,300,0.5,5,1537.34,672217.55,"288.0
",0.0,False,22352,1,0.4986874346952046,0.00438890860427551
gnp_0115,300,0.7,1,309.65,124060.84,"292.0
",0.0,False,31430,1,0.7006730030709514,0.0021299233082540175
gnp_0116,300,0.7,2,228.03,96088.81,"292.0
",0.0,False,31458,1,0.7015709993199293,0.0023007460140207626
gnp_0117,300,0.7,3,259.63,112744.60,"292.0
",0.0,False,31312,1,0.697985592382535,0.0022535072320351793
gnp_0118,300,0.7,4,252.72,109283.14,"292.0
",0.0,False,31331,1,0.6984958664260789,0.0021046718956259937
gnp_0119,300,0.7,5,327.92,124747.49,"292.0
",0.0,False,31297,1,0.6977261968838392,0.0022792742647997906
gnp_0120,300,0.9,1,51.66,22524.22,"296.0
",0.0,False,40276,1,0.8979040867615682,0.0006029532284612659
gnp_0121,300,0.9,2,22.85,9360.21,"296.0
",0.0,False,40374,1,0.9002553193671804,0.0007120227283629085
gnp_0122,300,0.9,3,23.08,8852.94,"296.0
",0.0,False,40342,1,0.8994806576477805,0.0007012554860783616
gnp_0123,300,0.9,4,22.51,8510.29,"296.0
",0.0,False,40325,1,0.8991206405117159,0.0007017924914287931
gnp_0124,300,0.9,5,24.21,9533.00,"295.0
",0.0,False,40250,1,0.897349055606278,0.0006593569265792614
gnp_0125,500,0.1,1,1800.01,846850.30,"445.0
",0.12672981434983463,True,12414,1,0.0991421417995641,0.008989467297819024
gnp_0126,500,0.1,2,1800.01,834515.73,"445.0
",0.126886283154945,True,12364,1,0.09918002858907116,0.009218866226602427
gnp_0127,500,0.1,3,1800.02,833533.33,"443.0
",0.12041133626820873,True,12496,1,0.09999578686230204,0.009028951779053853
gnp_0128,500,0.1,4,1800.09,826155.88,"448.0
",0.13003638216934393,True,12457,1,0.09958717441818074,0.008899201126396545
gnp_0129,500,0.1,5,1800.02,829174.30,"447.0
",0.1291544405912161,True,12472,1,0.09962602567401253,0.00882707662075247
gnp_0130,500,0.3,1,1800.00,538288.84,"480.0
",0.10685235730665059,True,37422,1,0.29974146100375254,0.003910382460732972
gnp_0131,500,0.3,2,1800.01,594161.34,"479.0
",0.09743890897000479,True,37311,1,0.29897613055672057,0.0040492169680556075
gnp_0132,500,0.3,3,1800.49,659047.24,"479.0
",0.08025533555237965,True,37415,1,0.30007387458618395,0.004156635655579511
gnp_0133,500,0.3,4,1800.01,689241.46,"481.0
",0.09374245214504735,True,37561,1,0.30133507315248503,0.0042670656696050455
